term,E,P,A,E2,P2,A2
negotiate with,1.03,1.16,-0.36,1.03,1.16,-0.36
nestle,1.98,1.07,-1.05,1.98,1.07,-1.05
nudge,-0.84,-0.42,0.35,-0.84,-0.42,0.35
obey,1.17,-0.02,-1.23,1.17,-0.02,-1.23
observe,0.73,0.06,-0.05,0.73,0.06,-0.05
obstruct,-2.24,-0.69,1.63,-2.24,-0.69,1.63
oppose,0.01,0.62,0.94,0.01,0.62,0.94
order,-0.79,0.19,1.16,-0.79,0.19,1.16
overcharge,-1.59,-0.45,0.72,-1.59,-0.45,0.72
overpower,0.59,0.97,0.43,0.59,0.97,0.43
overwork,-1.54,-0.87,0.78,-1.54,-0.87,0.78
pamper,0.94,0.24,-0.47,0.94,0.24,-0.47
pay for,0.84,0.64,-0.43,0.84,0.64,-0.43
pay for something,0.89,0.68,-0.03,0.89,0.68,-0.03
peek at,-1.67,-1.17,-0.36,-1.67,-1.17,-0.36
peep at,-1.96,-1.51,0.52,-1.96,-1.51,0.52
pester,-2.28,-1.61,1.73,-2.28,-1.61,1.73
photograph,1.55,1.24,-0.56,1.55,1.24,-0.56
pinch,-1.19,-0.23,0.75,-1.19,-0.23,0.75
place order with,0.85,0.99,0.14,0.85,0.99,0.14
play with,1.77,0.97,0.00,1.77,0.97,0.00
point at,-0.54,-0.72,0.55,-0.54,-0.72,0.55
praise,0.20,0.13,-0.49,0.20,0.13,-0.49
promise something,0.15,0.31,0.34,0.15,0.31,0.34
prompt,0.64,0.38,0.12,0.64,0.38,0.12
propose marriage to,2.40,2.01,-0.02,2.40,2.01,-0.02
prosecute,0.14,0.35,0.09,0.14,0.35,0.09
protect,2.42,1.92,-0.32,2.42,1.92,-0.32
pull away from,-0.49,-0.42,-0.17,-0.49,-0.42,-0.17
punch,-1.19,0.38,1.80,-1.19,0.38,1.80
pursue,-0.97,-0.35,0.87,-0.97,-0.35,0.87
push,-0.62,0.45,0.90,-0.62,0.45,0.90
put to bed,1.20,1.25,-0.57,1.20,1.25,-0.57
query,1.19,0.57,-0.89,1.19,0.57,-0.89
quiz,1.07,1.23,-0.72,1.07,1.23,-0.72
raise the pay of,1.77,1.54,-0.58,1.77,1.54,-0.58
rant at,-1.54,-1.26,1.18,-1.54,-1.26,1.18
rape,-2.85,-1.75,1.73,-2.85,-1.75,1.73
ravish,-2.10,-1.85,1.47,-2.10,-1.85,1.47
reason with,1.33,1.19,-0.74,1.33,1.19,-0.74
reassure,2.29,1.50,-1.72,2.29,1.50,-1.72
rebuff,-1.35,-0.34,0.64,-1.35,-0.34,0.64
reform,1.70,1.37,-1.03,1.70,1.37,-1.03
rehabilitate,1.88,1.71,-0.40,1.88,1.71,-0.40
remind,1.36,0.84,-0.49,1.36,0.84,-0.49
reply to,1.12,1.08,-0.15,1.12,1.08,-0.15
reprimand,-1.62,0.02,1.29,-1.62,0.02,1.29
request something from,0.58,0.70,-0.64,0.58,0.70,-0.64
rescue,2.16,2.19,-0.54,2.16,2.19,-0.54
restrain,-0.70,0.16,0.26,-0.70,0.16,0.26
retaliate against,-0.91,-0.67,0.91,-0.91,-0.67,0.91
reward,2.21,1.70,-0.77,2.21,1.70,-0.77
rib,-1.65,-0.82,1.30,-1.65,-0.82,1.30
ridicule,-2.62,-1.57,1.39,-2.62,-1.57,1.39
rob,-2.26,-0.31,1.44,-2.26,-0.31,1.44
rouse,0.72,0.28,0.35,0.72,0.28,0.35
salute,2.03,1.01,-1.19,2.03,1.01,-1.19
save,1.93,1.73,0.78,1.93,1.73,0.78
say farewell to,-0.27,0.34,-0.30,-0.27,0.34,-0.30
scowl at,-2.40,-0.81,1.27,-2.40,-0.81,1.27
scratch,-1.85,-0.61,1.45,-1.85,-0.61,1.45
scream at,-2.07,-1.08,1.52,-2.07,-1.08,1.52
search,-1.60,-0.36,0.71,-1.60,-0.36,0.71
seduce,-0.65,0.29,0.26,-0.65,0.29,0.26
seize,-0.40,0.33,0.91,-0.40,0.33,0.91
sell something to,0.81,0.45,0.38,0.81,0.45,0.38
sentence,-1.10,-0.33,1.09,-1.10,-0.33,1.09
serenade,1.62,0.73,-0.86,1.62,0.73,-0.86
serve,2.05,1.62,-0.48,2.05,1.62,-0.48
sexually arouse,-1.18,-1.15,0.79,-1.18,-1.15,0.79
sexually proposition,-1.39,-1.20,1.16,-1.39,-1.20,1.16
shake hands with,1.72,1.25,-0.88,1.72,1.25,-0.88
share something with,0.98,0.70,-0.33,0.98,0.70,-0.33
shoot,-2.34,-0.32,1.49,-2.34,-0.32,1.49
shout at,-1.74,-0.55,1.43,-1.74,-0.55,1.43
show something to,1.46,0.56,-0.66,1.46,0.56,-0.66
silence,-0.57,0.07,1.01,-0.57,0.07,1.01
sing to,1.80,0.63,-0.81,1.80,0.63,-0.81
sit next to,1.07,0.53,-1.21,1.07,0.53,-1.21
slap,-1.86,-0.58,2.36,-1.86,-0.58,2.36
slug,-1.97,0.31,2.23,-1.97,0.31,2.23
smile at,2.76,1.90,-0.93,2.76,1.90,-0.93
